,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
0,28845.0,10001-2019,10001,181492,0.9289806243157928,87405,94087,38.0,11234,20980,70742,44470,31780,3.0,118674,49734,1342,4358,212,7172,167860,13632
1,28911.0,10001-2020,10001,182256,0.9376568147990644,88196,94060,38.1,10992,21365,70984,44511,31967,3.0,118412,50652,1355,4296,220,7321,168174,14082
2,30804.0,10001-2021,10001,184149,0.9348463356973996,88974,95175,38.3,10775,21574,71934,44386,33033,3.0,118375,52239,1391,4343,241,7560,169703,14446
3,37532.0,10003-2019,10003,559941,0.9383572076407016,271067,288874,38.8,31837,60062,223145,148224,89925,1.0,359883,148161,2766,33418,416,15297,501375,58566
4,38965.0,10003-2020,10003,570718,0.949686222128087,277995,292723,39.0,31611,62154,227046,150771,92012,1.0,364190,153022,2927,34170,431,15978,509191,61527
5,41428.0,10003-2021,10003,571708,0.9483491916355408,278276,293432,39.2,30924,61541,228044,148945,94971,1.0,362239,155269,3001,34573,442,16184,508731,62977
6,35491.0,10005-2019,10005,235235,0.9343392813091028,113625,121610,51.0,11780,21855,67061,64267,67750,2.0,194892,28671,2588,3226,461,5397,213279,21956
7,36739.0,10005-2020,10005,238912,0.944049343336534,116018,122894,51.4,11621,22184,67657,65130,69718,2.0,198150,28791,2668,3267,489,5547,216232,22680
8,39066.0,10005-2021,10005,247527,0.9422870190911872,120086,127441,52.0,11802,22419,70007,66994,73642,2.0,205985,29113,2732,3503,480,5714,223737,23790
9,56147.0,11001-2019,11001,708253,0.9018966521927104,335860,372393,34.2,45015,62268,362533,144996,88132,1.0,324529,326019,4318,31697,1100,20590,628415,79838
10,58659.0,11001-2020,11001,690093,0.9106464036236478,328910,361183,34.4,42654,63239,353106,140947,84624,1.0,319126,313838,4138,31308,1086,20597,611239,78854
11,63793.0,11001-2021,11001,670050,0.9081806428095436,318904,351146,34.9,40759,63458,337260,136905,85838,1.0,307274,306925,4067,30342,1063,20379,593131,76919
12,28646.0,12001-2019,12001,269489,0.9309072410185862,129923,139566,32.1,13796,24563,134277,54571,39682,2.0,188393,55757,1025,16460,194,7660,241308,28181
13,29821.0,12001-2020,12001,278684,0.9378085582766628,134870,143814,32.4,13887,25949,138284,56486,41336,2.0,194832,57533,1016,17049,207,8047,248639,30045
14,32323.0,12001-2021,12001,279238,0.9348933251106938,134921,144317,32.8,13524,25965,138232,56138,42493,2.0,194722,57696,1034,17315,214,8257,248450,30788
15,24686.0,12003-2019,12003,29288,1.114199090449722,15435,13853,37.2,1837,3593,11816,7501,4171,1.0,24223,4167,144,199,10,545,28453,835
16,24051.0,12003-2020,12003,28309,1.1254598693595614,14990,13319,37.5,1713,3475,11377,7293,4046,1.0,23269,4051,150,225,13,601,27467,842
17,25689.0,12003-2021,12003,28715,1.1335166059885575,15256,13459,37.5,1746,3490,11575,7318,4179,1.0,23489,4203,149,237,21,616,27763,952
18,29290.0,12005-2019,12005,173895,0.9824097401931168,86176,87719,41.8,9841,18163,63389,48335,32145,3.0,142763,19624,1420,4027,297,5764,162383,11512
19,30774.0,12005-2020,12005,174461,0.9953907036325372,87029,87432,41.9,9491,18339,63514,48795,32202,3.0,143130,19592,1457,4109,313,5860,162339,12122
20,32312.0,12005-2021,12005,179168,0.992371590289902,89241,89927,41.6,9835,18847,66023,49205,33098,3.0,146215,20637,1478,4358,333,6147,165943,13225
21,20529.0,12007-2019,12007,28348,1.2480570975416336,15738,12610,40.0,1491,2769,11382,7225,5168,6.0,21576,5810,167,182,13,600,27016,1332
22,21003.0,12007-2020,12007,28364,1.2611607142857142,15820,12544,40.1,1478,2807,11394,7295,5072,6.0,21634,5755,180,191,13,591,27028,1336
23,22656.0,12007-2021,12007,28540,1.2605940594059406,15915,12625,40.1,1468,2840,11497,7242,5152,6.0,21765,5784,185,191,14,601,27141,1399
24,32176.0,12009-2019,12009,601024,0.9565220222012436,293834,307190,47.6,27428,55566,194390,172472,144638,2.0,499412,65132,2807,15729,759,17185,535399,65625
25,33662.0,12009-2020,12009,608007,0.9696553466780268,299320,308687,47.4,27256,57122,197821,173962,145039,2.0,504300,66123,2897,16110,772,17805,539328,68679
26,36278.0,12009-2021,12009,616628,0.9721367576038636,303958,312670,47.2,26930,57379,202855,173062,149343,2.0,510290,67532,2974,16629,801,18402,544952,71676
27,32909.0,12011-2019,12011,1955475,0.9505498615994612,952950,1002525,40.7,112399,206329,744851,534398,333996,1.0,1232477,592142,8183,75903,2358,44412,1353115,602360
28,34063.0,12011-2020,12011,1941516,0.9636006161296096,952763,988753,40.9,108768,207010,735986,534448,330941,1.0,1218715,591529,8392,75535,2416,44929,1329760,611756
29,36451.0,12011-2021,12011,1930983,0.9632629697486066,947425,983558,41.3,105615,203536,729122,529937,338380,1.0,1207686,591169,8463,75703,2455,45507,1312540,618443
30,19304.0,12013-2019,12013,14140,1.181425485961123,7658,6482,41.9,679,1471,5309,3839,2662,6.0,11712,1748,191,124,20,345,13300,840
31,19512.0,12013-2020,12013,13615,1.183991017003529,7381,6234,41.6,653,1423,5133,3693,2524,6.0,11217,1725,198,123,22,330,12786,829
32,19982.0,12013-2021,12013,13641,1.192029567732605,7418,6223,41.8,654,1370,5165,3674,2586,6.0,11198,1744,210,124,24,341,12782,859
33,32144.0,12015-2019,12015,189669,0.9517287507717638,92489,97180,60.1,5450,11336,42311,51767,77428,3.0,171606,11346,759,2725,117,3116,174966,14703
34,33275.0,12015-2020,12015,187960,0.9651426599893358,92313,95647,60.0,5380,11490,42091,51677,75936,3.0,169894,11243,790,2681,135,3217,172790,15170
35,35656.0,12015-2021,12015,194843,0.9637274367321434,95622,99221,60.2,5459,11767,44081,53072,78993,3.0,175989,11616,784,2835,145,3474,178923,15920
