year,fips,date,cases
2020,1001,3,43
2020,1001,4,731
2020,1001,5,3660
2020,1001,6,11110
2020,1001,7,24241
2020,1001,8,38807
2020,1001,9,48577
2020,1001,10,60844
2020,1001,11,73997
2020,1001,12,108652
2020,1003,3,95
2020,1003,4,2877
2020,1003,5,7493
2020,1003,6,12318
2020,1003,7,54475
2020,1003,8,120283
2020,1003,9,150651
2020,1003,10,197611
2020,1003,11,233249
2020,1003,12,348455
2020,1005,4,506
2020,1005,5,2651
2020,1005,6,7330
2020,1005,7,14161
2020,1005,8,20859
2020,1005,9,24539
2020,1005,10,30228
2020,1005,11,33813
2020,1005,12,40753
2020,1007,3,5
2020,1007,4,657
2020,1007,5,1629
2020,1007,6,3433
2020,1007,7,7961
2020,1007,8,14745
2020,1007,9,18402
2020,1007,10,23833
2020,1007,11,30545
2020,1007,12,47009
2020,1009,3,29
2020,1009,4,590
2020,1009,5,1463
2020,1009,6,3652
2020,1009,7,13625
2020,1009,8,31781
2020,1009,9,44569
2020,1009,10,56017
2020,1009,11,76472
2020,1009,12,121270
2020,1011,3,16
2020,1011,4,220
2020,1011,5,2192
2020,1011,6,8735
2020,1011,7,12233
2020,1011,8,15597
2020,1011,9,17483
2020,1011,10,19575
2020,1011,11,20298
2020,1011,12,23348
2020,1013,3,7
2020,1013,4,440
2020,1013,5,7962
2020,1013,6,15721
2020,1013,7,20957
2020,1013,8,24956
2020,1013,9,27004
2020,1013,10,30243
2020,1013,11,32801
2020,1013,12,41741
2020,1015,3,40
2020,1015,4,1874
2020,1015,5,4036
2020,1015,6,6206
2020,1015,7,22671
2020,1015,8,63808
2020,1015,9,94482
2020,1015,10,127090
2020,1015,11,168264
2020,1015,12,252416
2020,1017,3,166
2020,1017,4,6111
2020,1017,5,10059
2020,1017,6,14139
2020,1017,7,22690
2020,1017,8,29072
2020,1017,9,33221
2020,1017,10,39681
2020,1017,11,47667
2020,1017,12,64015
2020,1019,3,10
2020,1019,4,294
2020,1019,5,817
2020,1019,6,1583
2020,1019,7,4817
2020,1019,8,10331
2020,1019,9,15668
2020,1019,10,21661
2020,1019,11,27431
2020,1019,12,38180
2020,1021,3,48
2020,1021,4,1045
2020,1021,5,2360
2020,1021,6,4480
2020,1021,7,13256
2020,1021,8,28741
2020,1021,9,42593
2020,1021,10,55047
2020,1021,11,62718
2020,1021,12,80899
2020,1023,3,9
2020,1023,4,482
2020,1023,5,2977
2020,1023,6,5203
2020,1023,7,7103
2020,1023,8,9375
2020,1023,9,10220
2020,1023,10,11787
2020,1023,11,12318
2020,1023,12,14311
2020,1025,4,560
2020,1025,5,2467
2020,1025,6,5886
2020,1025,7,11217
2020,1025,8,25115
2020,1025,9,31456
2020,1025,10,38938
2020,1025,11,44978
2020,1025,12,62564
2020,1027,3,11
2020,1027,4,431
2020,1027,5,805
2020,1027,6,962
2020,1027,7,3472
2020,1027,8,9228
2020,1027,9,14907
2020,1027,10,21202
2020,1027,11,25529
2020,1027,12,31941
2020,1029,3,24
2020,1029,4,330
2020,1029,5,403
2020,1029,6,624
2020,1029,7,2038
2020,1029,8,4804
2020,1029,9,9065
2020,1029,10,15557
2020,1029,11,20435
2020,1029,12,28176
2020,1031,4,1437
2020,1031,5,5316
2020,1031,6,8734
2020,1031,7,15793
2020,1031,8,27546
2020,1031,9,37069
2020,1031,10,50266
2020,1031,11,65012
2020,1031,12,94017
2020,1033,3,14
2020,1033,4,419
2020,1033,5,2975
2020,1033,6,8138
2020,1033,7,20558
2020,1033,8,39901
2020,1033,9,47174
2020,1033,10,58588
2020,1033,11,81960
2020,1033,12,122851
2020,1035,4,180
2020,1035,5,624
2020,1035,6,3112
2020,1035,7,8433
2020,1035,8,13475
2020,1035,9,15445
2020,1035,10,17131
2020,1035,11,19194
2020,1035,12,24333
2020,1037,3,17
2020,1037,4,551
2020,1037,5,1025
2020,1037,6,1392
2020,1037,7,2234
2020,1037,8,3727
2020,1037,9,4658
2020,1037,10,6020
2020,1037,11,8311
2020,1037,12,13637
2020,1039,3,10
2020,1039,4,553
2020,1039,5,1809
2020,1039,6,5343
2020,1039,7,16417
2020,1039,8,29258
2020,1039,9,38123
2020,1039,10,50269
